"","Alfalfa_Early","Alfalfa_Late","Compost_Early","Compost_Late","Mix_Early","Mix_Late"
"Otu00064",5.60781471765401,4.94940702420891,NA,NA,4.35635762230472,NA
"Otu00138",4.23682772307243,NA,NA,NA,NA,NA
"Otu00151",4.357866966687,NA,NA,NA,NA,NA
"Otu00222",4.1388172736221,NA,NA,NA,NA,NA
"Otu00329",4.02102233423764,NA,4.45155743801419,NA,NA,NA
"Otu00477",4.30806313368526,NA,5.25068580535968,NA,4.37042963085848,NA
"Otu00490",4.01169859859668,NA,NA,NA,NA,NA
"Otu00494",5.94011355232849,4.05131244603711,NA,NA,5.15814399936183,NA
"Otu00614",6.02387740711197,4.14903526124003,NA,NA,NA,NA
"Otu00666",5.17445904141291,4.28026755995648,NA,NA,4.18208793396045,NA
"Otu00717",4.6983935417758,NA,NA,NA,NA,NA
"Otu00728",5.01417469988923,NA,NA,NA,4.82090800047754,NA
"Otu00808",4.63761727859174,5.31624276705552,NA,NA,4.7821814309017,4.80235347115444
"Otu00832",5.3078617965704,6.49718520222051,NA,NA,NA,NA
"Otu00847",4.34118359483407,4.85562365679114,4.51658058358435,4.52900039148273,4.24429016840485,4.5413489753616
"Otu00900",4.29776283098121,NA,NA,NA,NA,NA
"Otu00933",4.82332971139424,NA,NA,NA,NA,NA
"Otu00953",4.4916683202465,4.38129082105973,NA,NA,NA,NA
"Otu00995",4.86922030900888,NA,NA,NA,4.08850827819199,NA
"Otu01028",4.01053735530412,NA,NA,NA,NA,NA
"Otu01189",4.35670316614715,NA,NA,NA,NA,NA
"Otu01203",4.34764608875627,5.0644418025067,NA,NA,NA,NA
"Otu01264",4.58789509045695,NA,4.69980346682584,NA,4.5856790664379,NA
"Otu01303",4.43512886220771,NA,NA,NA,NA,NA
"Otu01343",4.35385815439749,NA,NA,NA,4.1981884788901,NA
"Otu01345",5.06374843586863,NA,NA,NA,4.52722662433335,NA
"Otu01522",5.09822089490245,NA,NA,NA,NA,NA
"Otu01556",4.92636083661724,NA,NA,NA,NA,NA
"Otu01566",4.62780942959804,NA,NA,NA,NA,NA
