Treatment,Day,Organic_Carbon,Total_Nitrogen,Carbon_to_Nitrogen_Ratio,Inorganic_Nitrogen,NO3,NH3,MBC,pH,Gravimetric_Water_Content
Compost,7,3.72 (0.21) a,0.26 (0.01) b,14.44 (0.65) a,2.77 (0.40) b,2.39 (0.42) b,0.38 (0.11) b,259.23 ( 24.15) c,6.93 (0.08) c,0.37 (0.01) b
Mix,7,3.59 (0.14) a,0.27 (0.01) a,13.24 (0.51) b,1.47 (0.32) c,0.79 (0.27) c,0.68 (0.11) b,438.53 ( 30.27) b,6.96 (0.06) c,0.38 (0.01) ab
Alfalfa,7,3.3 (0.18) b,0.27 (0.02) a,12.12 (0.21) c,5.55 (1.95) a,4.02 (1.40) a,1.53 (0.86) a,660.82 ( 36.52) a,7.11 (0.06) b,0.39 (0.02) a
Reference,7,2.81 (0.12) c,0.23 (0.01) c,12.21 (0.26) c,4.59 (0.54) a,4.33 (0.46) a,0.26 (0.25) b,185.16 ( 46.73) d,7.22 (0.10) a,0.39 (0.01) a
Compost,14,3.93 (0.28) a,0.27 (0.02) a,14.34 (0.60) a,1.03 (0.17) d,0.18 (0.09) d,0.86 (0.16) bc,389.81 ( 25.94) b,6.88 (0.08) bc,0.36 (0.01) b
Mix,14,3.42 (0.17) b,0.26 (0.01) b,13.25 (0.26) b,2.96 (0.37) c,1.95 (0.32) c,1.01 (0.14) ab,442.17 ( 99.22) b,6.82 (0.08) c,0.37 (0.00) b
Alfalfa,14,3.21 (0.12) c,0.27 (0.01) ab,11.85 (0.22) c,8.03 (0.96) a,6.8 (1.02) a,1.24 (0.24) a,780.13 ( 56.26) a,6.94 (0.06) b,0.38 (0.01) a
Reference,14,2.89 (0.08) d,0.24 (0.01) c,12.03 (0.19) c,6.45 (0.44) b,5.71 (0.38) b,0.74 (0.30) c,214 ( 45.51) c,7.04 (0.06) a,0.38 (0.01) a
Compost,21,4.01 (0.87) a,0.29 (0.07) a,14.06 (0.49) a,0.26 (0.05) d,0.04 (0.03) d,0.22 (0.05) c,615.18 ( 83.72) b,6.6 (0.04) b,0.37 (0.01) ab
Mix,21,3.35 (0.17) b,0.26 (0.01) ab,12.98 (0.44) b,5.01 (0.96) c,4.65 (0.94) c,0.36 (0.07) b,542.4 ( 35.42) b,6.51 (0.03) c,0.36 (0.05) b
Alfalfa,21,3.1 (0.10) bc,0.26 (0.01) ab,11.81 (0.27) c,12.09 (1.87) a,11.63 (1.89) a,0.45 (0.04) a,742.68 (146.07) a,6.58 (0.04) b,0.39 (0.01) a
Reference,21,2.83 (0.12) c,0.23 (0.02) b,12.2 (0.40) c,6.8 (1.27) b,6.66 (1.23) b,0.14 (0.06) d,335.52 ( 26.36) c,6.66 (0.05) a,0.39 (0.00) a
Compost,35,3.68 (0.15) a,0.27 (0.01) a,13.46 (0.25) a,0.45 (0.17) d,0.13 (0.10) d,0.32 (0.17) a,530.14 ( 56.66) a,6.58 (0.09) b,0.36 (0.01) a
Mix,35,3.33 (0.13) b,0.27 (0.01) a,12.32 (0.24) b,9.55 (1.77) c,9.28 (1.76) c,0.27 (0.11) ab,461.81 ( 52.04) b,6.35 (0.02) c,0.34 (0.06) a
Alfalfa,35,3.02 (0.09) c,0.27 (0.01) a,11.3 (0.24) d,21.12 (1.73) a,20.83 (1.74) a,0.29 (0.06) a,560.07 ( 51.43) a,6.59 (0.06) b,0.37 (0.02) a
Reference,35,2.79 (0.07) d,0.23 (0.01) b,11.92 (0.36) c,11.62 (0.63) b,11.45 (0.62) b,0.17 (0.07) b,259.11 ( 16.50) c,6.7 (0.05) a,0.36 (0.01) a
Compost,49,3.54 (0.21) a,0.26 (0.01) a,13.65 (0.50) a,0.52 (0.25) c,0.2 (0.21) c,0.31 (0.05) a,458.52 ( 26.00) a,6.66 (0.13) b,0.37 (0.01) b
Mix,49,3.18 (0.09) b,0.26 (0.01) a,12.04 (0.19) b,14.67 (0.74) b,14.42 (0.71) b,0.26 (0.08) ab,417.92 ( 30.02) b,6.48 (0.05) c,0.37 (0.01) b
Alfalfa,49,2.98 (0.12) c,0.26 (0.01) a,11.34 (0.23) c,28.36 (4.49) a,28.14 (4.48) a,0.22 (0.05) b,431.19 ( 27.67) ab,6.72 (0.07) ab,0.38 (0.01) a
Reference,49,2.76 (0.12) d,0.24 (0.01) b,11.7 (0.27) b,14.93 (0.57) b,14.72 (0.59) b,0.22 (0.08) b,220.19 ( 17.03) c,6.79 (0.07) a,0.39 (0.01) a
Compost,97,3.32 (0.18) a,0.28 (0.01) a,12.05 (0.31) a,7.07 (2.43) d,6.61 (2.40) c,0.46 (0.58) a,455.58 ( 75.43) a,6.64 (0.11) a,0.39 (0.02) ab
Mix,97,3.1 (0.09) b,0.28 (0.01) a,11.12 (0.30) b,23.13 (0.96) b,22.29 (0.93) b,0.85 (0.42) a,438.41 ( 66.55) a,6.63 (0.11) a,0.36 (0.01) b
Alfalfa,97,2.94 (0.07) c,0.28 (0.01) a,10.47 (0.19) c,38.1 (0.95) a,38.1 (0.95) a,0 (0.00) b,418.85 ( 29.80) a,6.62 (0.10) a,0.38 (0.05) ab
Reference,97,2.73 (0.07) d,0.24 (0.01) b,11.26 (0.23) b,21.31 (1.23) c,21.31 (1.23) b,0 (0.00) b,258.92 ( 19.54) b,6.72 (0.07) a,0.41 (0.01) a
