"","Alfalfa_Early","Alfalfa_Late","Compost_Early","Compost_Late","Mix_Early","Mix_Late"
"Otu00064",5.4263054629711,4.85453587136392,NA,NA,4.28496862184575,NA
"Otu00138",4.04031827436921,NA,NA,NA,NA,NA
"Otu00151",4.15550785341509,NA,NA,NA,NA,NA
"Otu00477",4.10948541449106,NA,5.2511843511075,NA,4.3258391679593,NA
"Otu00494",5.6945539105729,NA,NA,NA,5.04239069143942,NA
"Otu00614",5.80923219823255,4.03728027802859,NA,NA,NA,NA
"Otu00666",5.03761639210536,4.1813290951716,NA,NA,4.14796936727583,NA
"Otu00717",4.50084813804323,NA,NA,NA,NA,NA
"Otu00728",4.80246173003575,NA,NA,NA,4.7001511154603,NA
"Otu00808",4.41306039647241,5.22728471621734,NA,NA,4.65737696474208,4.58097183990593
"Otu00832",5.09144023320744,6.42920472308971,NA,NA,NA,NA
"Otu00847",4.14519955050931,4.79591877275788,4.53174410607738,4.5565282375472,4.15836607649167,4.38671680143741
"Otu00900",4.1115980734214,NA,NA,NA,NA,NA
"Otu00933",4.60462744625843,NA,NA,NA,NA,NA
"Otu00953",4.28347256674321,4.25538480787287,NA,NA,NA,NA
"Otu00995",4.66517787084891,NA,NA,NA,NA,NA
"Otu01189",4.13200453272371,NA,NA,NA,NA,NA
"Otu01203",4.1229988803011,4.98363190766433,NA,NA,NA,NA
"Otu01264",4.38609645081594,NA,4.66692545626932,NA,4.48983459483772,NA
"Otu01303",4.20249319945596,NA,NA,NA,NA,NA
"Otu01343",4.14796974408731,NA,NA,NA,4.09499264782988,NA
"Otu01345",4.85990195950822,NA,NA,NA,4.43815555379201,NA
"Otu01522",4.89324428702202,NA,NA,NA,NA,NA
"Otu01556",4.70594371854228,NA,NA,NA,NA,NA
"Otu01694",4.41407800850163,NA,NA,NA,NA,NA
"Otu01805",4.45876215562329,NA,NA,NA,NA,NA
"Otu01822",4.43309753691598,NA,NA,NA,4.45357149576253,NA
"Otu02001",4.59874696770416,NA,NA,NA,NA,NA
"Otu02049",4.04167170299432,NA,NA,NA,NA,NA
